month,sales,orders,users,category,avg_order_value
2026-01,1608.76,62,475,电子,25.95
2026-01,1712.82,88,629,食品,19.46
2026-01,1429.73,46,397,食品,31.08
2026-01,1504.82,46,637,食品,32.71
2026-01,1634.9,79,564,食品,20.69
2026-01,1580.34,45,431,食品,35.12
2026-01,2034.34,54,460,电子,37.67
2026-01,947.05,50,544,美妆,18.94
2026-01,1812.74,83,485,食品,21.84
2026-01,2048.11,79,413,家居,25.93
2026-01,973.48,80,500,美妆,12.17
2026-01,1928.0,68,645,家居,28.35
2026-01,1112.6,87,466,食品,12.79
2026-01,2324.04,59,401,家居,39.39
2026-01,1312.26,68,433,服装,19.3
2026-01,1114.7,62,386,服装,17.98
2026-01,1806.04,91,475,电子,19.85
2026-01,1391.51,85,635,食品,16.37
2026-01,1341.85,94,378,食品,14.27
2026-01,1078.89,65,555,食品,16.6
2026-01,1115.9,81,511,服装,13.78
2026-01,1499.31,86,584,食品,17.43
2026-01,1175.67,92,637,食品,12.78
2026-01,2583.47,72,648,电子,35.88
2026-01,1122.65,53,610,服装,21.18
2026-01,2595.31,52,428,电子,49.91
2026-01,2644.31,72,382,电子,36.73
2026-01,1427.67,74,620,服装,19.29
2026-01,1393.11,45,408,服装,30.96
2026-01,2299.91,62,524,电子,37.1
2026-02,1590.22,74,351,食品,21.49
2026-02,1419.76,61,606,美妆,23.27
2026-02,1995.15,51,502,家居,39.12
2026-02,1995.13,57,428,家居,35.0
2026-02,1187.03,94,621,服装,12.63
2026-02,1227.28,76,359,美妆,16.15
2026-02,1518.94,64,472,食品,23.73
2026-02,2030.36,50,393,食品,40.61
2026-02,2362.57,93,622,家居,25.4
2026-02,1543.19,75,631,家居,20.58
2026-02,1682.48,83,566,食品,20.27
2026-02,1456.64,93,452,美妆,15.66
2026-02,1865.64,87,541,家居,21.44
2026-02,2508.68,52,476,电子,48.24
2026-02,1494.22,82,633,食品,18.22
2026-02,1377.18,49,380,食品,28.11
2026-02,2057.58,66,386,食品,31.18
2026-02,2152.54,76,459,电子,28.32
2026-02,2815.18,81,645,电子,34.76
2026-02,2906.44,71,447,电子,40.94
2026-02,1812.87,67,566,食品,27.06
2026-02,3024.43,48,400,电子,63.01
2026-02,1881.62,51,477,食品,36.89
2026-02,1691.03,53,566,食品,31.91
2026-02,1617.89,49,576,食品,33.02
2026-02,2410.17,51,375,家居,47.26
2026-02,2542.96,45,397,电子,56.51
2026-02,1400.88,55,558,美妆,25.47
2026-02,2056.13,70,380,电子,29.37
2026-02,1160.64,69,485,食品,16.82
2026-03,1483.76,63,566,美妆,23.55
2026-03,3090.49,95,634,电子,32.53
2026-03,2693.29,57,501,电子,47.25
2026-03,1330.51,92,627,食品,14.46
2026-03,1607.57,48,649,食品,33.49
2026-03,3398.18,78,430,电子,43.57
